,BJD-2450000,RV (m/s),\sigma_{RV},Instrument
0,3981.778241000138,-30.097458234033,7.77963924407959,HIRES
1,3982.8724409998395,-324.109255648302,7.00315380096436,HIRES
2,3983.815605999902,479.98104003808,7.50320053100586,HIRES
3,3984.8957210001536,826.89301253001,7.30816030502319,HIRES
4,4023.6922599999234,684.765442317971,7.5141077041626,HIRES
5,4186.99899399979,648.036068629202,7.81566143035889,HIRES
6,4187.104898999911,631.436539544416,7.01296806335449,HIRES
7,4187.160618999973,654.714676582062,7.00680208206177,HIRES
8,4188.017626999877,702.913506186074,7.07381534576416,HIRES
9,4188.160362999886,721.157287973659,6.88908910751343,HIRES
10,4189.011119999923,588.57989009571,6.98466491699219,HIRES
11,4189.089651999995,595.945216212398,6.90426301956177,HIRES
12,4189.158462000079,563.028539336894,7.74364471435547,HIRES
13,4216.960136000067,660.492483440906,8.42406845092773,HIRES
14,4279.877634999808,385.928638252693,8.59782600402832,HIRES
15,4285.824595999904,109.988533514909,5.57758617401123,HIRES
16,4294.8794439998455,719.759320934108,5.37884140014648,HIRES
17,4304.8657240001485,572.483078963478,6.1157169342041,HIRES
18,4305.870864000171,712.559891851351,5.79360437393188,HIRES
19,4306.865958000068,714.551585427513,6.72956895828247,HIRES
20,4307.913120999932,431.677097114117,6.22838687896729,HIRES
21,4335.813360999804,514.982795952843,6.0444016456604,HIRES
22,4546.098919000011,-749.189697245146,7.11350965499878,HIRES
23,4547.116444999818,470.322435560739,7.0105881690979,HIRES
24,4549.05121299997,703.448375921542,7.26634073257446,HIRES
25,4674.873000999913,-414.164105391447,7.55566644668579,HIRES
26,4839.167655999772,-434.869653395131,8.49210166931152,HIRES
27,5015.871844999958,671.018939180476,7.67563104629517,HIRES
28,5350.946463999804,-535.77269649742,8.43883895874023,HIRES
29,5465.74358800007,572.332376080126,6.24719285964966,HIRES
30,5703.873769000173,593.341754295314,7.20404434204102,HIRES
31,5704.83704699995,352.59079050809,7.88059425354004,HIRES
32,5705.8541199998,-576.445383657796,7.75821971893311,HIRES
33,5706.8324190001,-297.520283766241,7.2359733581543,HIRES
34,5707.845127000008,472.744660873242,7.10579442977905,HIRES
35,5808.7604890000075,275.200950039746,7.59281396865845,HIRES
36,5850.696270999964,523.636124279649,7.23429727554321,HIRES
37,5932.161884999834,-293.593225059108,8.50554275512695,HIRES
38,5945.1287859999575,548.035908144998,8.7634744644165,HIRES
39,5992.019272000063,353.565112050976,9.34141635894775,HIRES
40,6147.75385100022,530.497092343176,8.02792263031006,HIRES
41,6149.739382000174,340.502828855332,8.11866188049316,HIRES
42,6363.753711100202,475.77999999999815,6.720000000000001,HARPS-N GAPS 2013-2015
43,6377.680197400041,324.21999999999827,6.26,HARPS-N GAPS 2013-2015
44,6379.645494299941,606.2099999999987,7.0200000000000005,HARPS-N GAPS 2013-2015
45,6382.61308850022,-748.6900000000019,4.88,HARPS-N GAPS 2013-2015
46,6408.646740499884,509.1199999999972,7.119999999999999,HARPS-N GAPS 2013-2015
47,6486.4860771000385,681.5399999999961,5.46,HARPS-N GAPS 2013-2015
48,6506.735011999961,-433.358822169857,6.91851377487183,HIRES
49,6739.711966100149,631.7299999999989,7.11,HARPS-N GAPS 2013-2015
50,6792.685365399811,54.539999999997235,7.420000000000001,HARPS-N GAPS 2013-2015
51,6818.693539899774,645.6999999999958,6.22,HARPS-N GAPS 2013-2015
52,6821.520913199987,-902.7100000000012,8.149999999999999,HARPS-N GAPS 2013-2015
53,6826.753401000053,-260.463024591756,7.87039661407471,HIRES
54,6846.750986999832,589.298278872824,7.44561529159546,HIRES
55,6849.770448999945,-1127.72989480517,7.54721593856812,HIRES
56,6855.776967000216,-944.745747545553,7.41635799407959,HIRES
57,6861.438301499933,-778.8900000000026,5.31,HARPS-N GAPS 2013-2015
58,6878.414121599868,-617.1000000000028,5.04,HARPS-N GAPS 2013-2015
59,7065.151078000199,408.749641644922,8.60257053375244,HIRES
60,7113.531827100087,171.62999999999826,12.959999999999999,HARPS-N GAPS 2013-2015
61,7115.541586199775,201.32999999999655,9.42,HARPS-N GAPS 2013-2015
62,7145.546647499781,712.579999999997,8.31,HARPS-N GAPS 2013-2015
63,7150.989579000045,665.958163639061,7.9963436126709,HIRES
64,7151.136072000023,643.285503688028,7.46966028213501,HIRES
65,7175.6065156999975,97.73999999999603,8.65,HARPS-N GAPS 2013-2015
66,7179.759668999817,555.907358461069,7.30170297622681,HIRES
67,7197.966603999957,152.265774633549,7.51916265487671,HIRES
68,7203.937516999897,-40.4058918617482,7.03835439682007,HIRES
69,7207.461442600004,726.6699999999964,7.2700000000000005,HARPS-N GAPS 2013-2015
70,7208.4420074000955,502.63999999999737,7.83,HARPS-N GAPS 2013-2015
71,7211.954072999768,521.476709311198,7.11280632019043,HIRES
72,7214.0509680002,439.562515873129,7.91421508789062,HIRES
73,7254.899406999815,-246.87034244081,7.59992837905884,HIRES
74,7255.889278999995,-615.732050760828,7.55719900131226,HIRES
75,7262.723799999803,489.890601423581,7.53624868392944,HIRES
76,7294.7046420001425,-933.950169466927,6.59385347366333,HIRES
77,7298.706623000093,484.184666051184,6.55066156387329,HIRES
78,7326.6849010000005,459.908262790562,8.23489665985107,HIRES
79,7423.183265999891,278.699419391645,7.7571873664856,HIRES
80,7550.457780050114,653.8534383297992,1.19244860894783,HARPS-N GAPS 2015-2017
81,7624.389871949796,671.7221306216998,1.30601175221525,HARPS-N GAPS 2015-2017
82,7672.706240999978,-795.895231097211,7.41513776779175,HIRES
83,7793.17997399997,518.551695141362,8.03695487976074,HIRES
84,7879.609456889797,331.8178429551008,1.30713539016005,HARPS-N GAPS 2015-2017
85,7891.38229137985,-237.30842212179778,3.63923333301605,HARPS-N GAPS 2015-2017
86,7891.388853840064,-127.1720634673984,3.61539147519218,HARPS-N GAPS 2015-2017
87,7891.39283529995,-191.7894225650016,3.32638798488587,HARPS-N GAPS 2015-2017
88,7891.396469539963,-180.92980059759793,3.35551027992719,HARPS-N GAPS 2015-2017
89,7891.684766429942,-617.7061824021002,3.23942052143616,HARPS-N GAPS 2015-2017
90,7891.693111290224,-594.1143208032008,1.85760238382481,HARPS-N GAPS 2015-2017
91,7953.485337430146,-218.48275825109886,1.21084560218239,HARPS-N GAPS 2015-2017
92,7975.437345589977,221.06691826670067,1.42622564434915,HARPS-N GAPS 2015-2017
93,7989.356549109798,541.6699282511981,1.30703608643413,HARPS-N GAPS 2015-2017
94,8024.416544599924,775.371666520201,1.19818529989493,HARPS-N GAPS 2015-2017
95,8263.12948400015,-100.28433166647,6.33462953567505,HIRES
96,8386.707285999786,208.803203942164,6.09439563751221,HIRES
97,8645.776184000075,202.412913584249,5.67918872833252,HIRES
98,8648.86430200003,586.108263116614,6.54440546035767,HIRES
99,8648.867126000114,588.855060028519,6.72804355621338,HIRES
100,8648.86984599987,594.181108525287,6.20857286453247,HIRES
101,9042.843344999943,534.451072820671,7.18787431716919,HIRES
102,9092.718253999949,58.6268491241647,7.34980487823486,HIRES
